country_of_origin,variety,processing_method,total_cup_points,aroma,flavor,acidity,body,balance,altitude_mean_meters
Taiwan,Unknown,Unknown,83.83,7.75,7.67,7.75,7.75,7.67,1200.0
Brazil,Yellow Bourbon,Natural / Dry,83.83,7.25,7.58,8.0,7.75,7.83,1.0
Taiwan,Typica,Washed / Wet,83.83,7.67,7.75,7.75,7.42,7.75,525.0
Ethiopia,Unknown,Natural / Dry,83.83,7.75,7.75,7.67,7.58,7.67,1676.5
Brazil,Bourbon,Semi-washed / Semi-pulped,83.83,7.67,7.67,7.5,7.83,8.17,1200.0
Costa Rica,Catuai,Washed / Wet,83.83,7.83,7.42,7.83,7.75,7.83,1300.0
Guatemala,Bourbon,Washed / Wet,83.83,7.58,7.83,8.0,7.58,7.75,1219.2
Brazil,Yellow Bourbon,Natural / Dry,83.83,7.92,7.5,7.67,8.17,7.5,1260.0
Ecuador,Unknown,Natural / Dry,83.83,7.5,7.67,7.75,7.83,7.83,800.0
Colombia,Caturra,Washed / Wet,83.83,7.67,7.58,7.83,7.58,7.67,1750.0
Guatemala,Bourbon,Washed / Wet,83.83,7.5,7.83,7.83,7.83,7.67,1310.64
Mexico,Bourbon,Natural / Dry,83.83,7.67,8.0,7.42,7.67,7.5,1218.0
Mexico,Pacas,Natural / Dry,83.83,7.67,7.58,7.75,7.75,7.75,1300.0
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,83.83,7.83,7.83,7.67,7.5,7.58,1250.0
