country_of_origin,variety,processing_method,total_cup_points,aroma,flavor,acidity,body,balance,altitude_mean_meters
Mexico,Typica,Washed / Wet,79.42,7.0,6.83,7.42,7.33,7.17,800.0
Cote d?Ivoire,Unknown,Washed / Wet,79.33,7.42,7.25,7.0,7.33,7.08,200.0
Colombia,Caturra,Washed / Wet,79.33,7.42,7.25,7.25,7.42,7.25,1200.0
Mexico,Typica,Washed / Wet,79.33,7.0,7.0,7.33,7.42,6.92,950.0
Mexico,Typica,Washed / Wet,79.33,7.42,7.17,7.17,7.08,7.08,750.0
Guatemala,Bourbon,Washed / Wet,79.33,7.17,6.5,7.25,7.58,7.33,
Taiwan,Typica,Washed / Wet,79.25,7.08,6.83,7.25,7.42,7.08,850.0
Mexico,Bourbon,Washed / Wet,79.25,7.0,7.0,7.17,7.17,7.08,1000.0
Guatemala,Bourbon,Washed / Wet,79.17,7.33,7.42,7.42,7.5,7.42,1219.2
Honduras,Catuai,Washed / Wet,79.17,7.58,7.0,6.92,7.0,6.92,1650.0
Guatemala,Bourbon,Washed / Wet,79.17,7.08,7.0,7.42,7.0,6.92,1320.0
Guatemala,Catuai,Washed / Wet,79.17,7.25,7.17,7.25,7.0,6.92,1550.0
Costa Rica,Catuai,Washed / Wet,79.17,7.17,7.42,8.0,7.25,7.83,
Mexico,Typica,Washed / Wet,79.17,7.25,7.08,7.08,7.17,7.17,1550.0
Mexico,Typica,Washed / Wet,79.17,7.17,6.92,7.08,7.17,7.0,1450.0
Mexico,Typica,Unknown,79.17,6.75,6.75,7.25,7.58,7.08,1200.0
Guatemala,Bourbon,Washed / Wet,79.08,7.58,7.67,7.42,7.67,7.67,1700.0
United States (Puerto Rico),Other,Washed / Wet,79.08,7.42,7.08,7.33,7.33,6.92,853.44
Mexico,Typica,Washed / Wet,79.08,7.33,7.0,7.25,7.33,7.08,1500.0
Mexico,Mundo Novo,Washed / Wet,79.08,7.25,7.08,7.33,7.42,7.0,1100.0
Mexico,Typica,Washed / Wet,79.08,7.17,7.25,7.17,7.25,7.08,1200.0
Guatemala,Other,Washed / Wet,79.0,7.33,7.17,7.42,7.08,6.83,1219.2
Honduras,Pacas,Washed / Wet,79.0,7.0,7.0,7.0,7.0,7.0,1350.0
Peru,Typica,Washed / Wet,79.0,7.67,7.17,7.25,8.0,7.5,1400.0
Mexico,Mundo Novo,Natural / Dry,79.0,6.75,7.08,7.25,7.17,7.08,1300.0
Mexico,Typica,Semi-washed / Semi-pulped,79.0,7.5,7.17,7.5,7.25,7.0,1550.0
Mexico,Typica,Washed / Wet,79.0,7.17,6.83,7.25,7.17,6.92,12.0
Mexico,Typica,Washed / Wet,78.92,7.33,7.0,7.08,7.17,7.25,1300.0
Mexico,Typica,Washed / Wet,78.92,7.5,7.0,7.08,6.92,6.75,1400.0
Nicaragua,Caturra,Other,78.83,7.17,7.0,7.0,7.0,7.0,1100.0
United States (Hawaii),Unknown,Natural / Dry,78.75,7.5,6.92,7.25,7.58,7.42,
Guatemala,Bourbon,Washed / Wet,78.75,7.33,7.08,7.25,7.0,7.0,1310.64
Mexico,Typica,Washed / Wet,78.75,7.25,6.83,7.0,7.17,7.0,1320.0
Mexico,Typica,Semi-washed / Semi-pulped,78.75,7.25,7.33,7.25,7.08,7.0,1250.0
Mexico,Bourbon,Washed / Wet,78.75,7.67,7.17,7.33,7.58,7.17,1350.0
China,Typica,Washed / Wet,78.67,7.0,6.92,7.17,7.17,7.17,1850.0
Mexico,Caturra,Washed / Wet,78.67,6.92,6.92,7.25,7.17,6.92,1150.0
Nicaragua,Unknown,Unknown,78.58,7.08,7.0,6.83,7.08,6.92,
Nicaragua,Unknown,Natural / Dry,78.58,6.83,7.08,6.75,7.25,7.08,
Guatemala,Other,Washed / Wet,78.58,7.33,7.17,7.58,7.25,7.17,1219.2
Taiwan,Typica,Washed / Wet,78.58,6.83,6.75,7.25,7.0,6.92,800.0
Mexico,Typica,Washed / Wet,78.58,7.0,7.0,7.33,6.92,6.92,1400.0
Mexico,Typica,Washed / Wet,78.58,7.92,7.58,7.92,7.92,7.5,1300.0
United States (Hawaii),Unknown,Unknown,78.58,7.92,6.83,7.42,6.75,7.33,
Mexico,Bourbon,Washed / Wet,78.5,7.25,6.75,6.92,7.25,7.58,1600.0
Mexico,Typica,Washed / Wet,78.5,7.08,6.83,7.0,7.0,6.92,1400.0
Mexico,Caturra,Washed / Wet,78.5,7.25,7.17,6.83,7.58,7.08,1200.0
Brazil,Catuai,Natural / Dry,78.42,6.83,7.0,7.08,6.92,6.83,
Mexico,Typica,Washed / Wet,78.42,7.58,7.17,7.17,7.33,7.0,1500.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,78.33,7.5,7.75,7.83,7.92,7.92,
Guatemala,Other,Washed / Wet,78.33,7.17,6.5,7.0,7.17,7.17,1219.2
Guatemala,Bourbon,Washed / Wet,78.33,7.17,7.17,7.17,7.0,6.83,1310.64
Mexico,Typica,Natural / Dry,78.33,7.25,7.25,7.5,7.33,7.42,1300.0
Guatemala,Bourbon,Washed / Wet,78.33,7.17,6.08,7.25,7.33,7.33,
United States (Hawaii),Hawaiian Kona,Natural / Dry,78.25,7.5,7.5,7.58,7.5,7.42,
United States (Hawaii),Hawaiian Kona,Natural / Dry,78.25,7.42,7.33,7.5,7.67,7.75,
Indonesia,Java,Washed / Wet,78.17,6.92,6.83,6.92,6.92,6.83,1300.0
Mexico,Typica,Washed / Wet,78.08,7.08,6.83,7.25,7.25,6.92,1050.0
Taiwan,Yellow Bourbon,Washed / Wet,78.0,7.5,7.08,7.17,7.5,7.5,650.0
Honduras,Pacas,Natural / Dry,78.0,6.83,7.0,7.0,7.0,6.83,1350.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,78.0,7.58,7.33,7.42,7.5,7.33,
Guatemala,Other,Washed / Wet,78.0,7.42,7.25,7.33,7.0,6.92,1219.2
China,Typica,Washed / Wet,78.0,7.33,7.17,7.08,7.33,7.0,1200.0
Guatemala,Bourbon,Washed / Wet,78.0,7.0,6.83,7.17,6.67,6.83,1310.64
Mexico,Other,Washed / Wet,78.0,7.25,7.33,7.0,7.25,7.08,850.0
Colombia,Unknown,Unknown,78.0,7.42,7.17,7.17,7.67,7.17,
Costa Rica,Caturra,Washed / Wet,77.92,7.5,7.25,7.0,7.08,6.83,1200.0
Mexico,Typica,Washed / Wet,77.92,7.42,7.25,7.0,7.25,7.08,1248.0
Guatemala,Bourbon,Washed / Wet,77.92,7.17,6.17,7.08,7.33,6.83,
Nicaragua,Unknown,Unknown,77.83,7.42,7.0,7.17,7.08,7.0,1000.0
Brazil,Unknown,Washed / Wet,77.83,7.0,6.75,6.83,7.08,6.83,
Guatemala,Bourbon,Washed / Wet,77.83,7.0,6.83,7.17,6.83,6.83,1310.64
Taiwan,Typica,Washed / Wet,77.67,7.17,6.75,7.33,7.33,7.17,775.0
United States (Hawaii),Unknown,Natural / Dry,77.58,7.58,7.67,7.67,7.42,7.42,
Mexico,Typica,Washed / Wet,77.5,7.17,6.75,6.75,6.83,6.75,1300.0
Guatemala,Bourbon,Washed / Wet,77.42,7.08,6.92,7.0,6.92,7.0,1310.64
Brazil,Bourbon,Natural / Dry,77.33,7.5,7.33,7.58,7.58,6.92,890.0
Guatemala,Other,Washed / Wet,77.33,7.33,7.0,7.17,7.17,7.17,1219.2
Mexico,Typica,Washed / Wet,77.33,7.33,7.0,7.0,6.92,6.92,1500.0
Haiti,Typica,Washed / Wet,77.25,6.83,6.83,6.75,6.92,6.92,825.0
United States (Hawaii),Unknown,Natural / Dry,77.25,7.08,6.92,6.67,7.58,7.42,
Mexico,Other,Washed / Wet,77.17,7.08,7.0,7.25,7.33,7.25,1200.0
Peru,Caturra,Washed / Wet,77.0,7.42,7.75,7.67,7.92,7.83,1200.0
India,Unknown,Natural / Dry,76.83,7.67,7.33,6.67,7.17,7.42,
Mexico,Typica,Unknown,76.75,6.67,6.33,6.83,7.0,6.92,1200.0
Guatemala,Bourbon,Washed / Wet,76.5,6.42,6.5,7.33,6.33,6.92,
Mexico,Typica,Washed / Wet,76.42,7.17,6.58,7.0,7.25,6.58,1100.0
Guatemala,Bourbon,Washed / Wet,76.33,7.5,7.0,7.5,7.17,7.33,1310.64
Guatemala,Bourbon,Washed / Wet,76.33,6.17,6.5,7.17,7.0,6.83,
United States (Hawaii),Hawaiian Kona,Natural / Dry,76.25,7.25,7.08,7.17,7.33,6.83,
United States (Hawaii),Unknown,Natural / Dry,76.17,7.5,7.33,7.58,7.67,7.25,
Mexico,Typica,Washed / Wet,76.17,7.42,7.0,7.08,6.92,6.83,1400.0
Indonesia,Other,Natural / Dry,76.17,7.33,7.0,6.08,7.58,6.33,
Mexico,Bourbon,Washed / Wet,76.08,7.08,6.83,7.17,7.17,7.08,1250.0
Honduras,Pacas,Natural / Dry,76.0,6.83,6.83,6.83,7.0,6.83,1350.0
Philippines,Unknown,Washed / Wet,75.83,6.83,6.5,6.92,6.75,7.0,1000.0
Brazil,Unknown,Natural / Dry,75.67,7.17,7.0,7.5,7.17,7.0,
Guatemala,Bourbon,Washed / Wet,75.58,7.92,7.58,7.58,7.33,7.17,1310.64
Guatemala,Bourbon,Washed / Wet,75.58,6.67,6.5,7.0,7.17,6.75,
Mexico,Pacamara,Washed / Wet,75.5,7.5,7.25,7.0,7.17,6.83,1100.0
Mexico,Mundo Novo,Washed / Wet,75.17,7.17,6.92,6.83,7.25,7.75,1200.0
Mexico,Other,Washed / Wet,75.17,7.25,6.83,7.08,7.17,6.83,1100.0
Mexico,Typica,Washed / Wet,75.17,7.17,7.17,7.17,7.42,6.67,1280.0
Mexico,Typica,Washed / Wet,75.0,7.0,6.92,6.92,7.17,6.83,850.0
Mexico,Typica,Washed / Wet,74.92,7.08,6.75,7.0,7.0,6.75,1500.0
Mexico,Typica,Washed / Wet,74.83,7.33,6.75,7.25,7.5,7.0,1250.0
Guatemala,Bourbon,Washed / Wet,74.75,6.75,6.5,7.0,7.25,6.75,
Guatemala,Bourbon,Washed / Wet,74.75,6.75,6.67,7.17,7.0,6.58,
Mexico,Typica,Washed / Wet,74.67,7.08,7.0,7.5,7.33,6.83,1700.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,74.42,7.5,7.25,7.25,7.42,7.33,
Guatemala,Bourbon,Washed / Wet,74.33,6.5,6.33,7.5,7.33,6.83,1310.64
Mexico,Typica,Washed / Wet,74.33,7.0,6.58,6.83,7.08,6.83,1140.0
Mexico,Typica,Washed / Wet,74.0,6.92,6.42,7.33,7.25,6.75,1200.0
Mexico,Typica,Washed / Wet,73.83,7.67,7.0,7.58,7.33,7.33,1250.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,73.67,7.17,7.17,7.58,7.67,6.92,
Brazil,Unknown,Unknown,73.5,7.25,6.58,7.0,7.0,6.42,
Honduras,Pacas,Washed / Wet,73.42,7.0,7.17,7.17,7.0,7.17,1350.0
Mexico,Typica,Washed / Wet,72.92,7.08,7.08,7.08,6.92,6.92,1200.0
Colombia,Unknown,Natural / Dry,72.83,8.0,7.33,7.33,7.42,7.67,
United States (Hawaii),Hawaiian Kona,Natural / Dry,72.58,6.92,6.92,7.5,7.58,7.17,
Haiti,Unknown,Unknown,72.33,6.92,6.75,7.17,7.33,6.67,1020.0
Costa Rica,Caturra,Washed / Wet,71.75,6.33,6.5,6.83,6.33,6.5,1200.0
Mexico,Mundo Novo,Washed / Wet,71.08,6.92,6.92,6.92,7.17,7.0,800.0
Mexico,Bourbon,Washed / Wet,71.0,6.5,6.67,7.17,7.33,6.5,1800.0
Mexico,Typica,Washed / Wet,70.75,6.92,7.0,6.92,7.42,6.92,1000.0
Brazil,Unknown,Natural / Dry,70.67,7.0,7.0,7.0,7.33,6.83,
Honduras,Catuai,Washed / Wet,69.33,6.67,6.5,6.67,6.83,6.17,1450.0
Honduras,Catuai,Washed / Wet,69.17,7.0,6.17,6.67,6.5,6.17,1450.0
Honduras,Catuai,Washed / Wet,69.17,7.0,6.33,6.5,6.67,6.17,1450.0
Mexico,Bourbon,Washed / Wet,68.33,7.08,6.83,7.42,7.25,6.75,900.0
Haiti,Typica,Natural / Dry,67.92,6.75,6.58,6.67,7.08,6.67,350.0
Nicaragua,Caturra,Other,63.08,7.25,6.58,6.25,6.42,6.08,1100.0
